base64_url,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMS9ndGZzLnppcA==,11931,1,1A Marathon,1A - Marathon Day - Johnson / Tank Farm / Airport,,3,,42205F,FFFFFF,1,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMS9ndGZzLnppcA==,11920,1,SAN LUIS DRIVE TRIPPER,SAN LUIS DRIVE TRIPPER,,3,,00B0F0,FFFFFF,100,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMS9ndGZzLnppcA==,12289,1,Holiday Trolley,Holiday Trolley,,3,,36fd1c,FFFFFF,16,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12636,120,C20,20: South County,Tulare to Richgrove,3,,ef4545,FFFFFF,1,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12651,120,D2,D2: Northwest Dinuba,74643,3,,97ab43,FFFFFF,12,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12639,120,C80,80: Porterville-Terra Bella-Ducor,Porterville to Terra Bella Loop,3,,97ab43,FFFFFF,5,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12646,120,TR,TR: Tule River Indian Reservation,18879,3,,987db9,FFFFFF,7,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12644,120,T6,T6: East Tulare,74638,3,,2dbaa6,FFFFFF,20,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12645,120,C90,90: Lindsay - Strathmore - Plainview - Woodville - Poplar - Porterville,Lindsay to Woodville to Porterville Loop,3,,253874,FFFFFF,6,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12869,120,DL,DL: Dinuba Loop,,3,,fcd854,000000,10,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12652,120,T1,T1: North Tulare,Tulare Regional Medical Center,3,,4770b7,FFFFFF,15,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12640,120,DC,DC: Dinuba Connection,74624,3,,25a14a,FFFFFF,9,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12647,120,D3,D3: Southeast Dinuba,74631,3,,d169a8,FFFFFF,13,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12648,120,C30,30: Northeast County,Visalia to Woodlake (and sometimes to Three Rivers),3,,2dbaa6,FFFFFF,2,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12637,120,D4,D4: Central Dinuba,74628,3,,4770b7,FFFFFF,14,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12642,120,T4,T4: Northeast Tulare,74636,3,,d169a8,FFFFFF,18,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12650,120,D1,D1: Northeast Dinuba,74640,3,,0d5379,FFFFFF,11,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12649,120,11X,11X: Tulare-Visalia,74639,3,,881f61,FFFFFF,8,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12643,120,T5,T5: Southwest Tulare,74637,3,,f8bf2b,000000,19,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12638,120,T2,T2: Southeast Tulare,74634,3,,97ab43,FFFFFF,16,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12654,120,C70,70: Porterville - Springville,Porterville to Springville Loop,3,,4770b7,FFFFFF,4,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12641,120,T3,T3: West Tulare,74635,3,,0d5379,FFFFFF,17,,,
aHR0cDovL2RhdGEucGVha3RyYW5zaXQuY29tL3N0YXRpY2d0ZnMvMTIwL2d0ZnMuemlw,12653,120,C40,40: Southeast County,Porterville to Visalia,3,,f47421,FFFFFF,3,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0601,GREYHOUND-us,Greyhound US0601,Dallas - Nashville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1150s,GREYHOUND-us,Greyhound US1150s,Memphis - Jonesboro -  Searcy,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1173,GREYHOUND-us,Greyhound US1173,Baton Rouge - New Orleans - Memphis,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1169s,GREYHOUND-us,Greyhound US1169s,Laredo - Harlingen,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,MX351,FLIXBUS-us,FlixBus MX351,Mexico City - Aguascalientes,,3,,73D700,FFFFFF,,,,
